BP_DATE,YEAR,ERROR,MONTH,DATE_BCE,SMITHSONIAN_DATE,DEF_YEAR,VEI,SMITH_VEI,DEF_VEI,MAGNITUDE,PYROCLAST_VOLUME_(KM3),LAVA_VOLUME_(KM3),TOTAL_VOLUME_(p+l),COLUMN_HEIGHT,MER,DENSITY,TEMPERATURE,BIBLIO1,BIBLIO2,BIBLIO3,BIBLIO4
FALSE,2013,0,2,2013,,2013,,,,,"0,0205","0,0197","0,04021",,,,,https://doi.org/10.1016/j.jag.2021.102369,,,
FALSE,2011,0,1,2011,,2011,,,,,"0,0190","0,0280","0,04700",,,,,https://doi.org/10.1016/j.jag.2021.102369,,,
FALSE,2008,0,5,2008,2008,2008,,1,1,,"0,0000","0,0740","0,07400",,,,,https://doi.org/10.1016/j.jag.2021.102369,,,
FALSE,2006,0,7,2006,2006,2006,,2,2,,"0,0000","0,0390","0,03900",,,,,https://doi.org/10.1016/j.jag.2021.102369,,,
FALSE,2004,0,9,2004,,2004,,1,1,,"0,0000","0,0460","0,04600",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,2002,0,10,2002,,2002,,3,3,,"0,0540","0,0368","0,09080",4000,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,doi:_10.1139/E03-052,,
FALSE,2002,0,7,2002,,2002,,,,,"0,0010","0,0000","0,00100",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,2001,0,12,2001,2001,2001,,1,1,,"0,0020","0,0100","0,01200",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,2001,0,7,2001,2001,2001,,2,2,,"0,01350","0,0288","0,04225",4500,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,https://doi.org/10.1007/s00445-006-0083-4,,
FALSE,2000,0,1,2000,,2000,,,,,"0,027","0,04255","0,06955",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,1999,0,9,1999,,1999,,,,,0,"0,020","0,01955",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,1999,0,6,1999,,1999,,,,,"0,0081",0,"0,00810",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,1999,0,2,1999,,1999,,,,,"0,000","0,02875","0,02875",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,1998,0,9,1998,,1998,,,,,"0,0081","0,00173","0,00983",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,1998,0,4,1998,,1998,,,,,"0,0081","0,00057","0,00867",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,1998,0,3,1998,,1998,,,,,"0,00027",0,"0,00027",,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,1996,0,11,1996,,1996,,,,,0,"0,00138","0,00138",3000,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,1995,0,8,1995,,1995,,,,,"0,0108","0,0015","0,01230",6200,,,,http://dx.doi.org/10.1016/j.earscirev.2006.04.002,,,
FALSE,1991,0,12,1991,1991,1991,,2,2,,0,"0,235","0,23500",,,,,doi:_10.1139/E03-052,,,
FALSE,1989,0,9,1989,1989,1989,,2,2,,0,"0,026","0,02600",,,,,doi:_10.1139/E03-052,,,
FALSE,1986,0,10,1986,1986,1986,,2,2,,0,"0,05","0,05000",13000,,,,doi:_10.1139/E03-052,,,
FALSE,1985,0,3,1985,1985,1985,,1,1,,0,"0,025","0,02500",,,,,doi:_10.1139/E03-052,,,
FALSE,1983,0,3,1983,,1983,,1,1,,0,"0,079","0,07900",,,,,doi:_10.1139/E03-052,,,
FALSE,1981,0,3,1981,1981,1981,,2,2,,"0,001","0,018","0,01900",,,,,doi:_10.1139/E03-052,,,
FALSE,1979,0,8,1979,,1979,,,,,0,"0,01","0,01000",,,2300,,doi:_10.1139/E03-052,,,
FALSE,1978,0,4,1978,1978,1978,,2,2,,0,"0,02","0,02000",,,,,doi:_10.1139/E03-052,,,
FALSE,1974,0,1,1974,1974,1974,,2,2,,"0,002","0,004","0,00600",,,,,doi:_10.1139/E03-052,,,
FALSE,1971,0,4,1971,,1971,,2,2,,"0,003","0,04","0,04300",,,,,doi:_10.1139/E03-052,,,
FALSE,1950,0,11,1950,1950,1950,,2,2,,"0,00","0,124","0,12463",,,,,doi:_10.1139/E03-052,,,
FALSE,1949,0,12,1949,1949,1949,,1,1,,"0,0002","0,004","0,00420",,,,,doi:_10.1139/E03-052,,,
FALSE,1947,0,2,1947,1947,1947,,1,1,,"0,000025","0,007","0,00703",,,,,doi:_10.1139/E03-052,,,
FALSE,1942,0,6,1942,1942,1942,,2,2,,"0,0001","0,003","0,00310",,,,,doi:_10.1139/E03-052,,,
FALSE,1928,0,11,1928,1928,1928,,1,1,,"0,0025","0,026","0,02850",,,,,doi:_10.1139/E03-052,,,
FALSE,1923,0,6,1923,1923,1923,,2,2,,"0,0005","0,048","0,04850",,,,,doi:_10.1139/E03-052,,,
FALSE,1918,0,11,1918,,1918,,1,1,,0,"0,011","0,01100",,,,,doi:_10.1139/E03-052,,,
FALSE,1911,0,9,1911,1911,1911,,1,1,,"0,00162","0,027","0,02862",,,,,doi:_10.1139/E03-052,,,
FALSE,1910,0,3,1910,1910,1910,,2,2,,"0,0002","0,037","0,03720",,,,,doi:_10.1139/E03-052,,,
FALSE,1908,0,4,1908,1908,1908,,2,2,,"0,00015","0,002","0,00215",,,,,doi:_10.1139/E03-052,,,
FALSE,1882,0,7,1882,1882,1882,,2,2,,"0,005","0,145","0,15000",,,,,doi:_10.1139/E03-052,,,
FALSE,1886,0,5,1886,1886,1886,,3,3,,"0,01","0,05","0,06000",,,,,doi:_10.1139/E03-052,,,
FALSE,1883,0,3,1883,1883,1883,,2,2,,"0,00005","0,000167","0,00022",,,,,doi:_10.1139/E03-052,,,
FALSE,1879,0,5,1879,1879,1879,,3,3,,"0,02","0,023","0,04300",,,,,doi:_10.1139/E03-052,,,
FALSE,1874,0,8,1874,1874,1874,,2,2,,0,"0,002","0,00200",,,,,doi:_10.1139/E03-052,,,
FALSE,1669,0,3,1669,1669,1669,,3,3,,"0,0422","0,60000","0,64220",7000,,2300,,https://doi.org/10.1016/j.jvolgeores.2015.07.020,,,